strengthDefinition,target,quintile,signalCount,reachedCount,hitRatePct,strengthMin,strengthMedian,strengthMax,timeMeanMinutes,timeMedianMinutes,timeP75Minutes,timeP80Minutes,timeP90Minutes,deadline60mHitRatePct,deadline120mHitRatePct,deadline360mHitRatePct,deadline720mHitRatePct,deadline1440mHitRatePct,deadline2160mHitRatePct,deadline2880mHitRatePct
slopeExcess,1pct,1,23151,14593,63.03399421191309,-0.0001425828512663899,-0.00013659546023122378,-0.00012896269962117056,926.3202905502638,696,1492,1743,2206,4.686622608094683,9.023368321022849,21.57574186860179,32.24914690510129,46.568182799879054,56.12716513325559,63.03399421191309
slopeExcess,2pct,1,23151,9747,42.10185305170403,-0.0001425828512663899,-0.00013659546023122378,-0.00012896269962117056,1196.8840668923772,1028,1925.5,2109.8,2461,0.9070882467280031,2.4404993304824845,8.729644507796639,15.878363785581618,26.39194851194333,34.21882424085353,42.10185305170403
slopeExcess,4pct,1,23151,5424,23.42879357263185,-0.0001425828512663899,-0.00013659546023122378,-0.00012896269962117056,1374.4105825958702,1314.5,2040.25,2188.4000000000005,2524.3999999999996,0.16845924582091487,0.5010582696211826,2.6046391084618374,5.9781434927216965,12.746749600449226,18.526197572459076,23.42879357263185
slopeExcess,1pct,2,23151,16702,72.14375188976719,-0.00012896175516936077,-0.00011985250816849732,-0.00010819029901196258,686.5106574062986,401,1032,1222,1861.8999999999996,8.219947302492333,15.342749773227936,34.231782644378214,46.987171180510565,60.6280506241631,67.78972830547276,72.14375188976719
slopeExcess,2pct,2,23151,12339,53.29791369703253,-0.00012896175516936077,-0.00011985250816849732,-0.00010819029901196258,1025.5255693330091,820,1630,1822.2000000000044,2297.2000000000007,1.6975508617338344,4.263314759621615,14.725065871884585,24.715994989417304,37.51457820396527,46.27877845449441,53.29791369703253
slopeExcess,4pct,2,23151,7473,32.27938317999223,-0.00012896175516936077,-0.00011985250816849732,-0.00010819029901196258,1282.5633614344974,1192,1922,2124,2478.6000000000004,0.30236274890933434,0.9934776035592415,4.630469526154378,10.176666234719882,19.079089456179,26.163016716340547,32.27938317999223
slopeExcess,1pct,3,23150,17819,76.9719222462203,-0.00010819022622643272,-0.00009307863197940798,-0.00007307606728564935,523.8452775127673,252,688,887,1512.2000000000007,13.360691144708422,23.22246220302376,45.88768898488121,58.501079913606915,68.65226781857451,73.97840172786178,76.9719222462203
slopeExcess,2pct,3,23150,13870,59.91360691144708,-0.00010819022622643272,-0.00009307863197940798,-0.00007307606728564935,874.8643835616439,593,1362.75,1580,2151,2.691144708423326,6.596112311015119,21.123110151187905,33.477321814254864,46.025917926565874,54.00863930885529,59.91360691144708
slopeExcess,4pct,3,23150,9019,38.95896328293736,-0.00010819022622643272,-0.00009307863197940798,-0.00007307606728564935,1175.6897660494512,1009,1802.5,1996.4000000000005,2432.2,0.4449244060475162,1.4384449244060475,6.76889848812095,14.319654427645789,25.377969762419006,32.64794816414687,38.95896328293736
slopeExcess,1pct,4,23151,19281,83.28365945315537,-0.00007307540695821656,-0.00004559389978196981,-0.0000019412314007520625,410.12494165240395,169,471,599,1252,21.433199429830243,34.400241890199126,57.850632802038795,69.6341410738197,76.35523303529006,80.5019221631895,83.28365945315537
